uniq_cnt25,point5_id,SHORTNAM
405,2,1
544,2,1
545,8,1
546,10,1
547,12,1
548,12,1
549,10,1
550,23,1
551,21,1
552,19,1
553,18,1
554,3,1
621,1,1
623,1,1
632,1,1
682,5,1
683,2,2
686,2,1
687,12,1
688,13,4
689,18,4
690,25,1
691,25,2
692,25,2
693,25,2
694,25,2
695,25,3
696,20,2
697,15,2
698,12,3
699,11,2
700,13,1
701,13,1
702,6,2
703,5,1
704,6,1
710,1,2
711,5,2
748,2,2
759,1,1
762,1,1
771,1,1
808,2,2
809,6,3
810,5,3
826,9,1
827,25,1
828,5,1
829,15,1
830,13,1
831,21,2
832,8,4
833,25,5
834,25,6
835,25,3
836,25,3
837,25,4
838,25,4
839,25,3
840,25,4
841,25,1
842,25,2
843,25,2
844,25,3
845,25,2
846,25,1
847,25,1
848,25,2
849,25,3
850,20,4
851,12,2
852,15,2
853,18,3
854,16,3
855,21,2
856,25,2
857,21,2
858,23,3
859,16,5
860,10,5
861,13,5
862,13,5
863,2,4
867,1,2
872,6,1
873,8,1
874,1,1
884,2,2
886,1,1
888,8,2
889,4,1
890,9,3
891,11,3
892,16,2
893,11,1
894,8,1
895,8,1
896,7,1
897,5,3
907,1,1
915,1,1
950,1,2
951,13,3
952,21,3
953,25,4
954,25,3
955,25,4
956,25,5
957,17,2
958,20,3
959,13,2
960,6,2
962,2,1
963,2,2
964,8,2
965,10,2
966,12,3
967,15,3
968,15,3
969,25,3
970,19,3
971,13,1
972,24,2
973,8,2
974,10,1
975,14,2
976,24,2
977,25,3
978,25,5
979,25,6
980,25,3
981,25,3
982,25,1
983,25,2
984,25,2
985,25,3
986,25,3
987,25,3
988,25,2
989,25,1
990,25,1
991,25,1
992,25,1
993,25,4
994,25,4
995,25,2
996,25,2
997,25,3
998,25,3
999,25,2
1000,25,2
1001,25,2
1002,25,2
1003,25,2
1004,25,1
1005,25,2
1006,25,4
1007,25,5
1008,21,5
1009,23,3
1010,25,2
1011,22,1
1012,16,1
1013,25,2
1014,25,1
1015,22,2
1016,4,1
1017,2,2
1018,11,2
1019,14,2
1020,7,1
1022,1,1
1023,3,1
1024,6,1
1025,2,1
1026,10,3
1027,17,3
1028,22,3
1029,25,2
1030,18,2
1031,8,1
1032,23,1
1033,25,2
1034,25,1
1035,25,2
1036,25,2
1037,25,1
1038,25,2
1039,20,2
1040,3,1
1041,6,2
1042,19,2
1043,18,1
1044,5,1
1045,2,2
1060,4,1
1063,2,1
1080,1,1
1081,8,1
1082,12,1
1083,7,1
1094,6,2
1095,23,3
1096,25,2
1097,23,2
1098,10,2
1099,16,2
1100,25,1
1101,25,4
1102,20,3
1103,4,3
1104,5,2
1105,6,2
1106,13,1
1107,20,2
1108,22,2
1109,25,3
1110,25,3
1111,25,3
1112,25,2
1113,25,4
1114,25,4
1115,25,4
1116,24,3
1117,15,3
1118,18,3
1119,25,2
1120,25,2
1121,25,3
1122,25,4
1123,25,4
1124,25,4
1125,25,3
1126,25,1
1127,25,1
1128,25,1
1129,25,2
1130,25,1
1131,25,1
1132,25,2
1133,25,2
1134,25,1
1135,25,1
1136,25,1
1137,25,1
1138,25,3
1139,25,3
1140,25,2
1141,25,2
1142,25,2
1143,25,2
1144,25,2
1145,25,2
1146,25,1
1147,25,2
1148,25,2
1149,25,4
1150,25,4
1151,25,4
1152,25,1
1153,25,2
1154,25,1
1155,25,2
1156,25,2
1157,25,3
1158,25,2
1159,19,2
1160,18,1
1161,4,1
1168,1,1
1170,12,2
1171,18,3
1172,25,3
1173,14,2
1174,16,2
1175,24,2
1176,19,2
1177,20,3
1178,24,2
1179,25,2
1180,25,2
1181,25,1
1182,25,1
1183,25,1
1184,25,2
1185,25,2
1186,25,1
1187,24,2
1188,18,2
1189,20,2
1190,18,1
1191,12,2
1192,6,2
1193,11,3
1194,24,2
1195,25,3
1196,19,3
1197,5,3
1226,7,1
1227,4,1
1237,3,1
1238,11,1
1239,25,2
1240,25,2
1241,15,1
1242,3,1
1243,14,2
1244,24,1
1245,25,1
1246,25,4
1247,25,3
1248,12,2
1249,17,1
1250,25,1
1251,25,1
1252,25,2
1253,25,2
1254,25,2
1255,25,2
1256,25,2
1257,25,3
1258,25,3
1259,25,4
1260,25,3
1261,25,2
1262,25,3
1263,25,2
1264,25,2
1265,25,3
1266,25,3
1267,25,3
1268,25,5
1269,25,2
1270,25,3
1271,25,2
1272,25,1
1273,25,1
1274,25,2
1275,25,1
1276,25,1
1277,25,3
1278,25,2
1279,25,3
1280,25,1
1281,25,2
1282,25,1
1283,25,1
1284,25,2
1285,25,3
1286,25,3
1287,25,2
1288,25,2
1289,25,2
1290,25,2
1291,25,3
1292,25,3
1293,25,3
1294,25,3
1295,25,3
1296,25,4
1297,25,2
1298,25,3
1299,21,2
1300,18,4
1301,25,4
1302,25,3
1303,25,3
1304,22,3
1305,9,3
1313,1,1
1314,3,1
1315,12,2
1316,15,2
1317,7,2
1318,5,2
1319,1,1
1320,4,2
1321,2,2
1323,1,1
1324,25,3
1325,25,3
1326,25,2
1327,25,1
1328,25,1
1329,25,1
1330,25,2
1331,25,2
1332,17,2
1333,10,2
1334,18,2
1335,25,2
1336,25,2
1337,25,2
1338,25,3
1339,25,2
1340,25,3
1341,13,3
1381,1,1
1382,17,1
1383,23,1
1384,25,2
1385,24,1
1386,5,1
1388,12,1
1389,14,2
1390,10,2
1391,6,3
1392,17,3
1393,15,2
1394,20,1
1395,25,1
1396,25,1
1397,25,1
1398,25,2
1399,25,2
1400,25,2
1401,25,3
1402,25,2
1403,25,2
1404,25,3
1405,25,3
1406,25,3
1407,25,2
1408,25,2
1409,25,2
1410,25,2
1411,25,3
1412,25,3
1413,25,5
1414,25,3
1415,25,3
1416,25,3
1417,25,2
1418,25,2
1419,25,2
1420,25,2
1421,25,2
1422,25,2
1423,25,3
1424,25,3
1425,25,2
1426,25,3
1427,25,3
1428,25,3
1429,25,3
1430,25,3
1431,25,3
1432,25,2
1433,25,2
1434,25,3
1435,25,3
1436,25,3
1437,25,4
1438,24,4
1439,20,2
1440,24,2
1441,12,2
1443,3,3
1444,6,3
1445,13,3
1446,12,4
1447,12,3
1448,4,1
1460,1,1
1461,4,2
1462,4,1
1469,1,1
1470,4,2
1471,22,3
1472,25,1
1473,25,1
1474,25,1
1475,25,2
1476,25,1
1477,25,2
1478,25,2
1479,24,2
1480,15,2
1481,20,2
1482,25,2
1483,24,1
1484,25,1
1485,25,2
1486,18,2
1487,2,1
1494,1,1
1495,5,1
1496,1,1
1497,5,2
1498,5,1
1522,4,2
1523,2,1
1527,8,1
1528,1,1
1529,20,2
1530,20,1
1533,1,1
1534,18,2
1535,13,3
1536,25,2
1537,25,1
1538,25,2
1539,15,2
1540,25,1
1541,20,1
1542,25,1
1543,25,3
1544,25,4
1545,25,4
1546,19,5
1547,25,4
1548,25,1
1549,25,1
1550,25,3
1551,25,7
1552,25,4
1553,25,8
1554,25,6
1555,25,3
1556,25,3
1557,25,8
1558,25,5
1559,25,4
1560,25,4
1561,25,3
1562,25,3
1563,25,3
1564,25,2
1565,25,2
1566,25,2
1567,25,2
1568,25,2
1569,25,3
1570,25,3
1571,25,3
1572,25,3
1573,25,2
1574,25,3
1575,25,3
1576,25,3
1577,25,2
1578,25,3
1579,24,2
1580,13,1
1581,1,2
1587,5,3
1588,19,4
1589,5,3
1605,1,2
1616,2,2
1617,15,4
1618,25,3
1619,25,2
1620,25,2
1621,25,2
1622,25,2
1623,25,2
1624,25,2
1625,25,2
1626,25,1
1627,25,1
1628,25,2
1629,25,2
1630,25,3
1631,25,3
1632,23,2
1633,22,1
1634,12,2
1635,4,2
1636,2,1
1638,6,3
1639,22,1
1640,25,1
1641,25,1
1642,25,2
1643,25,2
1644,17,2
1645,1,2
1666,3,2
1667,6,1
1668,7,2
1672,1,1
1673,3,1
1674,5,1
1675,4,1
1678,24,4
1679,25,5
1680,25,5
1681,25,2
1682,25,1
1683,25,2
1684,25,1
1685,25,1
1686,24,3
1687,25,5
1688,16,5
1689,17,6
1690,22,8
1691,23,10
1692,25,7
1693,25,6
1694,25,4
1695,25,4
1696,25,6
1697,25,5
1698,25,8
1699,25,8
1700,25,5
1701,25,5
1702,25,5
1703,25,5
1704,25,6
1705,25,8
1706,25,7
1707,25,7
1708,25,7
1709,25,5
1710,25,3
1711,25,2
1712,23,3
1713,19,3
1714,25,3
1715,25,3
1716,25,2
1717,25,2
1718,25,2
1719,25,2
1720,25,3
1721,25,4
1722,25,2
1723,18,2
1724,4,2
1731,4,3
1732,25,4
1733,23,3
1734,3,2
1763,14,2
1764,25,2
1765,25,2
1766,25,2
1767,25,1
1768,25,2
1769,25,3
1770,25,4
1771,25,5
1772,25,5
1773,25,4
1774,23,1
1775,19,2
1776,25,2
1777,25,2
1778,25,2
1779,25,2
1780,25,1
1781,11,3
1783,25,3
1784,25,1
1785,25,1
1786,25,1
1787,25,2
1788,25,2
1789,25,2
1790,15,2
1791,12,2
1810,4,1
1811,16,2
1812,2,2
1813,19,2
1814,8,1
1816,2,2
1817,11,2
1818,16,1
1819,19,1
1820,18,2
1821,24,1
1822,23,2
1823,25,4
1824,25,3
1825,25,3
1826,25,3
1827,25,3
1828,25,2
1829,25,1
1830,25,1
1831,25,3
1832,25,4
1833,21,4
1834,20,4
1835,25,7
1836,25,8
1837,24,7
1838,25,7
1839,25,8
1840,20,6
1841,25,6
1842,19,5
1843,16,4
1844,25,6
1845,25,5
1846,25,4
1847,25,2
1848,25,5
1849,25,7
1850,25,4
1851,25,9
1852,25,3
1853,25,4
1854,25,6
1855,25,7
1856,18,3
1857,10,3
1858,23,3
1859,25,3
1860,25,3
1861,25,2
1862,25,3
1863,25,3
1864,25,5
1865,25,5
1866,25,2
1867,25,3
1868,25,4
1869,15,3
1870,12,5
1871,4,4
1876,2,3
1877,19,3
1878,2,1
1908,2,2
1909,12,3
1910,24,2
1911,25,1
1912,25,1
1913,25,3
1914,25,5
1915,25,3
1916,25,4
1917,25,4
1918,25,5
1919,25,3
1920,24,6
1921,25,4
1922,25,2
1923,25,2
1924,24,2
1925,25,2
1926,24,3
1927,13,3
1928,25,2
1929,25,1
1930,25,1
1931,25,1
1932,20,2
1933,15,2
1934,15,2
1935,11,2
1936,3,3
1958,5,1
1959,4,1
1960,13,3
1961,23,7
1962,25,3
1963,25,1
1964,25,2
1965,25,4
1966,25,3
1967,25,2
1968,25,3
1969,25,3
1970,25,4
1971,24,4
1972,22,2
1973,25,2
1974,25,2
1975,25,2
1976,25,2
1977,15,2
1978,23,4
1979,25,5
1980,25,6
1981,25,6
1982,24,8
1983,24,5
1984,25,5
1985,25,4
1986,23,5
1987,22,6
1988,23,6
1989,25,3
1990,25,5
1991,25,5
1992,23,4
1993,25,3
1994,25,6
1995,25,5
1996,24,6
1997,25,4
1998,25,3
1999,25,5
2000,24,4
2001,18,3
2002,25,3
2003,25,2
2004,25,3
2005,25,5
2006,25,5
2007,25,4
2008,25,4
2009,25,5
2010,25,6
2011,25,3
2012,25,4
2013,25,4
2014,25,5
2015,12,6
2016,9,2
2022,2,1
2054,2,4
2055,11,2
2056,25,3
2057,25,5
2058,25,4
2059,25,3
2060,25,4
2061,25,3
2062,25,4
2063,25,3
2064,25,4
2065,25,4
2066,25,5
2067,23,2
2068,10,2
2069,3,1
2070,18,1
2071,25,2
2072,25,3
2073,25,2
2074,25,2
2075,24,4
2076,11,3
2077,11,3
2078,3,1
2081,9,1
2082,7,1
2102,1,1
2103,8,2
2104,22,1
2105,25,1
2106,25,4
2107,25,6
2108,25,4
2109,25,3
2110,25,5
2111,25,7
2112,25,5
2113,25,6
2114,25,5
2115,25,4
2116,25,4
2117,17,4
2118,19,2
2119,21,4
2120,24,2
2121,15,2
2122,22,2
2123,25,3
2124,23,2
2125,24,2
2126,25,1
2127,25,3
2128,25,1
2129,25,2
2130,25,2
2131,25,1
2132,25,2
2133,25,2
2134,25,1
2135,25,2
2136,25,4
2137,18,7
2138,21,4
2139,25,7
2140,25,9
2141,25,8
2142,25,3
2143,25,1
2144,25,1
2145,25,1
2146,25,2
2147,25,4
2148,25,3
2149,25,3
2150,25,3
2151,25,3
2152,25,5
2153,25,6
2154,25,7
2155,25,6
2156,25,5
2157,25,5
2158,25,8
2159,24,5
2160,5,3
2200,24,2
2201,25,3
2202,25,2
2203,25,2
2204,25,1
2205,25,1
2206,25,2
2207,25,2
2208,25,2
2209,25,2
2210,25,2
2211,25,2
2212,22,3
2213,20,4
2214,7,6
2215,4,2
2216,6,2
2217,16,2
2218,25,2
2219,25,3
2220,24,2
2221,23,2
2222,18,3
2223,6,2
2224,2,1
2248,1,1
2249,22,1
2250,25,1
2251,25,2
2252,25,6
2253,25,5
2254,13,4
2255,20,6
2256,25,7
2257,25,9
2258,25,7
2259,25,3
2260,22,7
2261,6,6
2263,5,2
2264,4,2
2265,24,8
2266,23,8
2267,25,9
2268,11,4
2270,8,1
2271,25,1
2272,20,1
2273,1,1
2274,21,2
2275,25,3
2276,25,1
2277,25,1
2278,21,1
2279,11,2
2280,15,3
2281,22,7
2282,21,8
2283,18,4
2284,1,1
2285,15,6
2286,25,5
2287,25,2
2288,25,1
2289,25,1
2290,25,1
2291,25,1
2292,25,1
2293,25,2
2294,25,2
2295,25,2
2296,25,2
2297,25,4
2298,25,2
2299,25,4
2300,25,3
2301,25,4
2302,25,6
2303,24,7
2304,6,3
2306,1,1
2344,5,1
2345,25,2
2346,25,2
2347,25,2
2348,25,1
2349,25,2
2350,25,1
2351,25,2
2352,25,1
2353,25,2
2354,25,2
2355,25,2
2356,25,1
2357,25,1
2358,25,1
2359,5,2
2360,23,1
2361,7,3
2362,8,4
2363,11,2
2364,25,3
2365,24,2
2366,3,2
2368,1,1
2391,13,3
2392,11,1
2393,11,3
2394,25,4
2395,17,2
2396,7,1
2397,3,2
2398,5,1
2399,15,1
2400,1,2
2401,13,4
2402,24,7
2403,25,8
2404,25,3
2405,12,5
2410,7,6
2411,16,14
2412,23,16
2413,5,9
2415,16,1
2416,25,2
2417,21,5
2418,13,5
2419,25,3
2420,25,2
2421,25,4
2422,25,6
2423,25,5
2424,23,5
2425,15,4
2426,20,7
2427,11,6
2428,16,5
2429,12,5
2430,16,4
2431,16,4
2432,23,6
2433,25,3
2434,25,2
2435,25,2
2436,25,2
2437,25,2
2438,25,2
2439,25,3
2440,25,2
2441,25,2
2442,25,2
2443,25,3
2444,25,3
2445,25,3
2446,20,5
2447,13,2
2448,5,1
2451,13,2
2452,1,1
2489,3,1
2490,25,1
2491,25,2
2492,25,2
2493,25,2
2494,25,2
2495,25,2
2496,25,1
2497,25,2
2498,25,2
2499,25,1
2500,25,2
2501,25,1
2502,25,1
2503,25,1
2504,22,1
2505,25,1
2506,17,1
2507,24,1
2508,24,1
2509,15,1
2510,4,1
2536,25,3
2537,25,1
2538,25,1
2539,13,2
2540,1,1
2542,1,2
2543,3,1
2544,2,1
2545,9,2
2546,1,1
2547,14,6
2548,17,5
2549,9,3
2550,8,4
2551,12,3
2552,19,3
2553,19,3
2554,12,4
2555,13,4
2556,23,12
2557,19,12
2558,19,19
2560,1,2
2561,20,2
2562,25,2
2563,25,4
2564,25,4
2565,25,7
2566,25,6
2567,21,9
2568,21,6
2569,25,2
2570,17,2
2571,12,2
2572,10,2
2573,9,3
2575,1,1
2576,6,3
2577,21,5
2578,25,3
2579,25,3
2580,25,2
2581,25,2
2582,25,2
2583,25,2
2584,25,2
2585,25,2
2586,25,4
2587,14,3
2588,17,2
2589,21,3
2590,19,2
2591,2,1
2595,4,1
2635,13,1
2636,25,2
2637,25,1
2638,25,1
2639,25,3
2640,25,2
2641,25,4
2642,25,2
2643,25,1
2644,25,1
2645,25,3
2646,25,1
2647,25,1
2648,25,1
2649,25,1
2650,25,1
2651,25,1
2652,25,1
2653,12,1
2680,1,1
2681,21,2
2682,25,1
2683,22,1
2684,2,2
2690,3,1
2693,5,2
2695,14,1
2696,25,2
2697,25,3
2698,25,5
2699,25,5
2700,25,5
2701,18,7
2702,19,5
2703,21,8
2706,24,5
2707,25,6
2708,25,5
2709,25,4
2710,25,5
2711,25,8
2712,18,8
2713,1,2
2714,20,5
2715,12,3
2716,1,1
2717,2,1
2718,6,1
2719,2,1
2720,18,3
2721,25,5
2722,25,4
2723,25,4
2724,25,5
2725,25,5
2726,25,3
2727,25,3
2728,25,2
2729,25,1
2730,25,1
2731,14,2
2732,1,1
2734,4,1
2735,13,1
2740,11,1
2780,1,1
2781,22,1
2782,25,1
2783,25,2
2784,25,4
2785,25,4
2786,25,4
2787,25,2
2788,25,2
2789,25,1
2790,25,5
2791,25,3
2792,25,1
2793,25,1
2794,25,1
2795,25,1
2796,25,1
2797,25,1
2798,12,1
2827,8,3
2828,4,3
2829,10,1
2830,16,2
2831,14,3
2832,19,3
2833,12,1
2841,2,2
2842,3,1
2843,4,5
2844,25,6
2845,25,6
2846,25,4
2847,25,7
2848,25,8
2849,23,9
2850,18,7
2851,16,8
2852,25,6
2853,25,10
2854,25,9
2855,25,9
2856,25,6
2857,19,9
2858,11,7
2860,5,3
2861,6,1
2862,2,2
2866,17,3
2867,25,4
2868,25,3
2869,25,4
2870,25,8
2871,25,2
2872,25,2
2873,25,1
2874,25,2
2875,25,2
2876,25,1
2877,6,1
2880,15,1
